row_id,trial,finger,game,game_label,hand,on_target,spillover,individuation,on_target_cal,spillover_cal,individuation_cal,corrected,comparable,why_not,excluded
68,3,Middle,2026-08-05/NA_134350_adaptive,13:43 adaptive,right,17.056,40.711999999999996,0.2952499653787564,0.15519563239308462,0.4581019357174792,0.2530511132975931,True,True,,False
71,6,Index,2026-08-05/NA_134350_adaptive,13:43 adaptive,right,15.396,27.419,0.35959360037370086,0.38203473945409433,0.23618159111971074,0.6179628724778332,True,True,,False
78,1,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,62.33,29.191,0.681045880180505,0.44489650249821555,0.439545969970909,0.5030248052834738,True,True,,False
79,2,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,34.297,18.032,0.655410957595215,0.42499380421313504,0.19468650684370414,0.6858275091689223,True,True,,False
80,3,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,18.517,19.966,0.4811735051841072,0.16848953594176522,0.2813553187390473,0.3745503237139769,True,True,,False
81,4,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,33.219,28.933,0.5344799845539967,0.8242928039702234,0.26513154387576904,0.7566315234279585,True,True,,False
82,5,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,29.775,14.565000000000001,0.6715155615696887,0.36895910780669144,0.17812532317050137,0.6744098112016513,True,True,,False
83,6,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,24.843,10.829,0.6964285714285715,0.22605095541401274,0.15586753252887692,0.5918827251112687,True,True,,False
84,7,Pinky,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,54.393,15.236,0.7811831277197719,0.3882441113490364,0.2543413020477356,0.604190669839109,True,True,,False
85,8,Index,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,35.062,9.709,0.7831408724397488,0.8700248138957817,0.08287579399450572,0.913027871628719,True,True,,False
86,9,Ring,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,30.998,17.694,0.6366138174648813,0.38411400247831473,0.18076401836505387,0.6799945976032642,True,True,,False
87,10,Middle,2026-08-05/NA_141442_adaptive,14:14 adaptive,right,25.431,8.644,0.7463242846661775,0.2314012738853503,0.11871211384527341,0.6609323778940719,True,True,,False
