iso_ts,t_perf,sample_idx,fsr1,fsr2,fsr3,fsr4,event,lane,detail
2026-05-27T13:46:54.563009,113128.008434,-1,0,0,0,0,resp,2,rt_ms=425.19;grade=Good
2026-05-27T13:46:55.173501,113128.618918,-1,0,0,0,0,stim,2,trial=35
2026-05-27T13:46:55.512307,113128.957721,-1,0,0,0,0,resp,2,rt_ms=338.32;grade=Good
2026-05-27T13:46:56.122969,113129.568375,-1,0,0,0,0,stim,3,trial=36
2026-05-27T13:46:56.464412,113129.909814,-1,0,0,0,0,resp,3,rt_ms=340.89;grade=Good
2026-05-27T13:46:57.075434,113130.520829,-1,0,0,0,0,stim,0,trial=37
2026-05-27T13:46:57.467247,113130.912637,-1,0,0,0,0,resp,0,rt_ms=391.11;grade=Good
2026-05-27T13:46:58.078100,113131.523482,-1,0,0,0,0,stim,3,trial=38
2026-05-27T13:46:58.486633,113131.932010,-1,0,0,0,0,resp,3,rt_ms=408.08;grade=Good
2026-05-27T13:46:59.095302,113132.540669,-1,0,0,0,0,stim,0,trial=39
2026-05-27T13:46:59.503004,113132.948367,-1,0,0,0,0,resp,0,rt_ms=407.26;grade=Good
2026-05-27T13:47:00.111408,113133.556764,-1,0,0,0,0,stim,0,trial=40
2026-05-27T13:47:00.538785,113133.984136,-1,0,0,0,0,resp,0,rt_ms=426.66;grade=Good
2026-05-27T13:47:01.149240,113134.594584,-1,0,0,0,0,stim,1,trial=41
2026-05-27T13:47:01.472192,113134.917531,-1,0,0,0,0,resp_wrong,2,trial=41;correct_lane=1
2026-05-27T13:47:01.643332,113135.088668,-1,0,0,0,0,resp,1,rt_ms=493.46;grade=Good
2026-05-27T13:47:02.253055,113135.698384,-1,0,0,0,0,stim,3,trial=42
2026-05-27T13:47:02.680490,113136.125814,-1,0,0,0,0,resp,3,rt_ms=426.79;grade=Good
2026-05-27T13:47:03.290054,113136.735370,-1,0,0,0,0,stim,0,trial=43
2026-05-27T13:47:03.716048,113137.161360,-1,0,0,0,0,resp,0,rt_ms=425.49;grade=Good
2026-05-27T13:47:04.327612,113137.772916,-1,0,0,0,0,stim,2,trial=44
2026-05-27T13:47:04.787618,113138.232918,-1,0,0,0,0,resp,2,rt_ms=459.33;grade=Good
2026-05-27T13:47:05.396772,113138.842062,-1,0,0,0,0,stim,2,trial=45
2026-05-27T13:47:05.720719,113139.166004,-1,0,0,0,0,resp,2,rt_ms=323.55;grade=Good
2026-05-27T13:47:06.331269,113139.776549,-1,0,0,0,0,stim,3,trial=46
2026-05-27T13:47:06.671992,113140.117266,-1,0,0,0,0,resp,3,rt_ms=340.27;grade=Good
2026-05-27T13:47:07.283227,113140.728494,-1,0,0,0,0,stim,0,trial=47
2026-05-27T13:47:07.641842,113141.087106,-1,0,0,0,0,resp,0,rt_ms=357.99;grade=Good
2026-05-27T13:47:08.253696,113141.698951,-1,0,0,0,0,stim,3,trial=48
2026-05-27T13:47:08.613360,113142.058611,-1,0,0,0,0,resp,3,rt_ms=359.04;grade=Good
2026-05-27T13:47:09.224743,113142.669987,-1,0,0,0,0,stim,3,trial=49
2026-05-27T13:47:09.497788,113142.943026,-1,0,0,0,0,resp,3,rt_ms=272.6;grade=Good
2026-05-27T13:47:10.109070,113143.554303,-1,0,0,0,0,stim,3,trial=50
2026-05-27T13:47:10.348304,113143.793533,-1,0,0,0,0,resp,3,rt_ms=238.78;grade=Good
2026-05-27T13:47:14.544705,113147.989881,-1,0,0,0,0,stim,1,trial=1
2026-05-27T13:47:15.546754,113148.991919,-1,0,0,0,0,timeout,1,trial=1;rt_ms=1001.33
2026-05-27T13:47:16.158372,113149.603530,-1,0,0,0,0,stim,0,trial=2
2026-05-27T13:47:17.165274,113150.610419,-1,0,0,0,0,timeout,0,trial=2;rt_ms=1003.45
2026-05-27T13:47:17.773153,113151.218289,-1,0,0,0,0,stim,2,trial=3
2026-05-27T13:47:18.778306,113152.223429,-1,0,0,0,0,timeout,2,trial=3;rt_ms=1004.68
2026-05-27T13:47:19.391087,113152.836202,-1,0,0,0,0,stim,1,trial=4
